point,target_x,target_y,pred_x,pred_y,error_px
1,128,72,2.0163934426229506,60.26229508196721,126.52921732922711
2,640,72,470.75409836065575,34.90163934426229,173.26414396827113
3,1152,72,976.5245901639345,9.688524590163935,186.21047077134455
4,128,360,91.78688524590164,311.78688524590166,60.29837572012493
5,640,360,700.4590163934427,348.44262295081967,61.553762090708055
6,1152,360,1127.72131147541,371.9344262295082,27.05337771705473
7,128,648,97.49180327868852,696.7704918032787,57.526610693833796
8,640,648,735.7868852459017,718.2459016393443,118.78389656109101
9,1152,648,1101.1166666666666,718.2,86.7015202352942

Average Error(px),99.76904167632773
Max Error(px),186.21047077134455
Min Error(px),27.05337771705473
Std Error(px),51.86779601806935
